american-pie,0.881839
rollerball,0.0991032
american-wedding,0.0991032
say-it-isnt-so,0.0991032
eight-below,0.0991032
loser,0.0991032
the-abcs-of-death,1e-20
300-rise-of-an-empire,1e-20
10-cloverfield-lane,1e-20
adam-steve,1e-20
8-mile,1e-20
volver,1e-20
aint-them-bodies-saints,1e-20
along-came-polly,1e-20
the-back-up-plan,1e-20
back-to-school,1e-20
the-40-year-old-virgin,1e-20
abraham-lincoln-vampire-hunter,1e-20
the-act-of-killing,1e-20
500-days-of-summer,1e-20
amelie,1e-20
alpha-dog,1e-20
wish-you-were-here,1e-20
against-all-odds,1e-20
28-days-later,1e-20
american-splendor,1e-20
an-american-tail,1e-20
analyze-that,1e-20
amores-perros,1e-20
an-education,1e-20
orgazmo,1e-20
the-6th-day,1e-20
anacondas-the-hunt-for-the-blood-orchid,1e-20
ali,1e-20
all-the-kings-men,1e-20
any-given-sunday,1e-20
boogeyman,1e-20
appaloosa,1e-20
original-sin,1e-20
project-almanac,1e-20
arrival,1e-20
along-came-a-spider,1e-20
as-above-so-below,1e-20
kung-pow-enter-the-fist,1e-20
the-lego-movie,1e-20
the-a-team,1e-20
atl,1e-20
atlantis-the-lost-empire,1e-20
america-freedom-to-fascism,1e-20
about-time,1e-20
